Geneid	baseMean4µ8C	log2FoldChange4µ8C	lfcSE4µ8C	stat4µ8C	pvalue4µ8C	padj4µ8C	gene_name	baseMeanCov2	log2FoldChangeCov2	lfcSECov2	statCov2	pvalueCov2	padjCov2
ENSG00000175756	4179.053315820528	-1.2358862172247467	0.22533657519866035	-5.4846232403025095	4.1435154174550875e-8	3.162111351705891e-7	AURKAIP1	4179.053315820528	-0.5476490270158848	0.2253333805449865	-2.4303945810929237	0.015082392914939973	0.08613318363471743
ENSG00000242485	2616.312034810827	-0.6534961219295797	0.18908857820745695	-3.45603170812677	5.48190830769152e-4	0.00201760499472301	MRPL20	2616.312034810827	-0.5883303045720173	0.18960889907354697	-3.1028622994314796	0.0019165879474931469	0.02032492791504258
ENSG00000157916	5439.591140672521	-0.2696081282928192	0.08742922311961593	-3.0837301153180325	0.0020442294841077195	0.006555049915981778	RER1	5439.591140672521	-0.2814572125531845	0.0879405672382928	-3.200538970717793	0.0013717081833917641	0.015988270793304005
ENSG00000157870	7839.212808273857	-0.4067405847238114	0.1373193949659216	-2.9620039093876853	0.0030564390316900406	0.009377941956833648	PRXL2B	7839.212808273857	-0.6824297614982727	0.1376803003501297	-4.956626037006098	7.172784419340891e-7	4.2021233665666754e-5
ENSG00000007923	4302.036648542725	-0.7496172860675562	0.1703586446493377	-4.400230394005254	1.0813600447335863e-5	5.594235964755086e-5	DNAJC11	4302.036648542725	-0.44820932694888843	0.1705722686926749	-2.627679929358508	0.008596936316579368	0.05884449310463209
ENSG00000171824	3019.770539066211	-0.4456124645562888	0.10362843446302944	-4.3000983935086445	1.7072229319543645e-5	8.517243934830301e-5	EXOSC10	3019.770539066211	-0.24565773500205598	0.10418576566971692	-2.357881937354326	0.018379537342034114	0.09775339105885672
ENSG00000055070	11286.97566705087	-0.2800757580579699	0.12600997071748118	-2.2226475925933644	0.026239572337685077	0.06118877918813192	SZRD1	11286.97566705087	-0.4126626689375071	0.12621894725470673	-3.2694193535362324	0.0010776845291066968	0.013315277570526817
ENSG00000159423	2899.4004160687377	-0.7597783059840841	0.14582878975861335	-5.2100707085461355	1.8876867569079386e-7	1.3103603363394843e-6	ALDH4A1	2899.4004160687377	-0.3507286494238708	0.14608872208685778	-2.400792096841968	0.01635962827981399	0.09100188675421422
ENSG00000070831	7279.471299607384	-0.9879607806448503	0.15961097429714488	-6.189804836386635	6.023875098641979e-10	5.913183385777453e-9	CDC42	7279.471299607384	-0.37734911053668013	0.15963741651656735	-2.363788632832945	0.018089129732098766	0.0967244949560694
ENSG00000117632	10086.538866586678	-0.4075503431661144	0.14496866255791158	-2.8112996007210014	0.00493418171104532	0.014350915665633653	STMN1	10086.538866586678	-0.8237357850554652	0.14528708979129504	-5.669710820409177	1.4303874266163509e-8	1.4941527870013076e-6
ENSG00000198830	1787.5643763249984	-0.6262673021247064	0.24022293816009868	-2.6070254028252915	0.009133258423298651	0.02458509533710723	HMGN2	1787.5643763249984	-0.8686479125635653	0.2411924894905457	-3.6014716478044178	3.164209350943846e-4	0.005293536114167234
ENSG00000253368	12712.593402744667	-0.7300427429145606	0.13989233742828855	-5.218604223328488	1.8027652414603405e-7	1.258918726875178e-6	TRNP1	12712.593402744667	-0.5755410303587033	0.14001801595294458	-4.1104784012374775	3.948402142192391e-5	0.0010969965596478398
ENSG00000117748	1397.476361837736	-0.6399693866636978	0.1582159240765116	-4.044911347572165	5.234292753140198e-5	2.3702215095914949e-4	RPA2	1397.476361837736	-0.4422954581567747	0.1590912721852547	-2.780136534716633	0.005433604772831491	0.043099617574356076
ENSG00000126698	2811.720641274721	-1.0422981393187967	0.16381180162116732	-6.362778072175929	1.981368787641796e-10	2.0748083384226305e-9	DNAJC8	2811.720641274721	-0.6321568383367154	0.1640875793714053	-3.852557522991153	1.1689050493003416e-4	0.00252193279740082
ENSG00000084623	15737.519048118924	-0.548228194756771	0.2237079594157668	-2.450642329349915	0.014260157284231755	0.03621284171524509	EIF3I	15737.519048118924	-0.5365867969720153	0.22378439308875925	-2.3977847139643456	0.016494556578617287	0.09138197775018714
ENSG00000116478	11162.418020770157	-2.2061338998494326	0.06685923436185019	-32.99669702930745	9.058600396206344e-239	1.0017000318124975e-234	HDAC1	11162.418020770157	-0.42051686248650527	0.06590537043823873	-6.380616020974804	1.7637704168316542e-10	3.2457525717742046e-8
ENSG00000175130	19758.37581429847	-0.8361472831179338	0.1093280825771189	-7.648055864586523	2.040405747322817e-14	3.436832711941464e-13	MARCKSL1	19758.37581429847	-0.5628963910983956	0.10941013326129681	-5.144828676463343	2.677650630897295e-7	1.85326598090688e-5
ENSG00000004455	7352.950421751311	-0.636102865449581	0.19078973174322006	-3.334051888629408	8.559068933582555e-4	0.0030098961446193635	AK2	7352.950421751311	-0.7939557756200232	0.191054097530605	-4.155659501062725	3.24350573254383e-5	9.360685732186456e-4
