Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000171793	4064.0286502081717	-2.7311323384225696	0.06862353924146329	-39.79876830328771	0	0	CTPS1
ENSG00000132688	2320.5799826904463	-3.0547466322375008	0.07947313669748977	-38.43747408467379	0	0	NES
ENSG00000135829	14505.082136772127	-3.0632718062697633	0.05715486705039383	-53.59599215879298	0	0	DHX9
ENSG00000171848	6350.149716673618	-2.3151601098820596	0.05939794765949798	-38.977106130902754	0	0	RRM2
ENSG00000138031	6169.489281777826	-2.305517382928264	0.05865463492113436	-39.30665302116718	0	0	ADCY3
ENSG00000168906	7298.816152443394	-2.562725587888492	0.06065343025987676	-42.251948107604015	0	0	MAT2A
ENSG00000120738	12883.444419373018	-2.0009535998699075	0.05321918905078355	-37.59834818152772	0	0	EGR1
ENSG00000132911	3639.674274269398	-3.872467631965932	0.0731674976347818	-52.92606358215903	0	0	NMUR2
ENSG00000137310	5809.561204520891	-2.23715020336764	0.057978445465367366	-38.58589490302859	0	0	TCF19
ENSG00000112118	6795.608087806308	-3.1551478205461683	0.05965876967306855	-52.886572046933786	0	0	MCM3
ENSG00000118523	14864.668693015241	-1.998229737939542	0.04845923659001269	-41.23527068421403	0	0	CCN2
ENSG00000166508	9633.524717203334	-2.7803090643309702	0.058941325980317726	-47.1707926160229	0	0	MCM7
ENSG00000087087	6160.725545390278	-2.831422426759858	0.06879140533264913	-41.159537489722354	0	0	SRRT
ENSG00000165376	6064.896549589396	-4.586197590688475	0.07537512977255859	-60.84497107371014	0	0	CLDN2
ENSG00000189057	1559.8956570053192	-4.83191680102727	0.12873783641975525	-37.53299678947996	0	0	FAM111B
ENSG00000168496	5678.8815564674	-2.8888762866061644	0.06212219333360435	-46.50312765186056	0	0	FEN1
ENSG00000109971	84528.09183453093	-2.355665198738917	0.05210384693471634	-45.210964973286025	0	0	HSPA8
ENSG00000151503	4311.601288130637	-2.738519914884718	0.07182567024607966	-38.12731444763914	0	0	NCAPD3
ENSG00000170525	16849.7904703375	-1.933715969512966	0.04881413174073248	-39.613855671622964	0	0	PFKFB3
ENSG00000111602	5619.761375805602	-2.441505546332238	0.06044766295998837	-40.39040430642164	0	0	TIMELESS
ENSG00000111605	4990.482522621555	-2.572788082038114	0.06441111973411565	-39.943228632857085	0	0	CPSF6
ENSG00000127329	7836.181493196457	-3.246255311502056	0.06960708469414462	-46.63685206421427	0	0	PTPRB
ENSG00000184992	11862.84856957486	-2.344164270177024	0.05309813584373786	-44.14776965194501	0	0	BRI3BP
ENSG00000100906	3910.8113665039573	-3.053192817723866	0.06919099617104311	-44.12702499868975	0	0	NFKBIA
ENSG00000100714	12192.410479396334	-2.5691263252959957	0.057231339036555945	-44.890201217465695	0	0	MTHFD1
ENSG00000100591	7210.2935257843255	-2.148899013465377	0.056701763281718436	-37.898274922928486	0	0	AHSA1
ENSG00000103064	1950.8246814900886	-3.965402372865961	0.09439542111719879	-42.008418691650576	0	0	SLC7A6
ENSG00000007202	23890.530564025838	-2.2963306239244963	0.05893690358052594	-38.96252575921302	0	0	KIAA0100
ENSG00000108773	4484.620108815776	-2.5844403007814702	0.06727281407405074	-38.41730625296335	0	0	KAT2A
ENSG00000168502	13422.655428818844	-2.105416466780549	0.05540278520045881	-38.001996815913024	0	0	MTCL1
ENSG00000101311	4449.123566418849	-2.7751024491576857	0.06580321096036659	-42.1727512784921	0	0	FERMT1
ENSG00000101412	2900.1305564973122	-3.221897901006768	0.07937804987108775	-40.58928011256542	0	0	E2F1
ENSG00000101057	18101.464719382453	-2.428627041819111	0.051237636261524874	-47.39927949492089	0	0	MYBL2
ENSG00000019186	6242.418643361071	-3.290826133704811	0.05868183484122472	-56.079128108532906	0	0	CYP24A1
