Geneid	baseMeanDTT	log2FoldChangeDTT	lfcSEDTT	statDTT	pvalueDTT	padjDTT	gene_name	baseMeanCov2	log2FoldChangeCov2	lfcSECov2	statCov2	pvalueCov2	padjCov2
ENSG00000001461	2408.8407134298263	-0.44820161696812516	0.1627312326374362	-2.7542445890931986	0.005882778624436191	0.029213901289534955	NIPAL3	2408.8407134298263	-0.438161940909648	0.1619518569864421	-2.7055073591797654	0.006820013712577679	0.043471911640624965
ENSG00000117614	877.5291431218375	-0.4448821816367774	0.18529892299777687	-2.400889192659338	0.016355288216018758	0.06196361212058587	SYF2	877.5291431218375	-0.5995036499580421	0.18391222390769948	-3.2597270438038777	0.001115194823117848	0.011007087872711627
ENSG00000159592	3318.9256807489633	-0.28415691061511444	0.08931740563599079	-3.1814281728377063	0.0014655085800917393	0.010221592276639862	GPBP1L1	3318.9256807489633	-0.3493023954901552	0.08847202537555342	-3.948167728809274	7.875162306521068e-5	0.001449938536973706
ENSG00000159658	5596.346057522548	-0.3973497809014076	0.10176770510116986	-3.904478149589716	9.442892284059334e-5	0.0012265376268801528	EFCAB14	5596.346057522548	-0.31023366376705824	0.1011821147415468	-3.0660919131755597	0.0021687663491093824	0.018288698496511945
ENSG00000215883	670.0575715325068	-0.328621016736391	0.1416332960831142	-2.3202243104160156	0.020328746153426374	0.07281293209337358	CYB5RL	670.0575715325068	-0.3585500888006434	0.13875413858312907	-2.58406770754324	0.009764262378998134	0.056860238556714356
ENSG00000125703	382.16025781779757	-0.5044819128158109	0.20174705911426252	-2.500566377674382	0.01239948942682297	0.0503920457440753	ATG4C	382.16025781779757	-0.45259643168640357	0.19738199047282648	-2.292997606327779	0.02184814276216303	0.09982856449488492
ENSG00000116791	4089.078595752631	-0.4221663410815244	0.15701755724711416	-2.688656915080644	0.007174010960309354	0.033794458688600565	CRYZ	4089.078595752631	-0.7381148058244077	0.15680036907663153	-4.707353752870798	2.5095319853883914e-6	8.440137902145828e-5
ENSG00000137992	1064.1378320853337	-0.6561198523264339	0.1660427908255311	-3.9515106260521096	7.765942326242273e-5	0.0010575888388701439	DBT	1064.1378320853337	-0.3764402216682437	0.1633714721192563	-2.3041980144088656	0.021211530623297815	0.09794697730697176
ENSG00000121940	1340.9368973274875	-0.3124941942288037	0.1135085829857543	-2.7530446245463462	0.0059043847534050965	0.029267628271669708	CLCC1	1340.9368973274875	-0.30690197729962476	0.11162427596205904	-2.7494196459911677	0.005970089867630291	0.039171271733538
ENSG00000134248	1305.902829536443	-0.34304838061630644	0.14774614619363527	-2.321877013067462	0.020239558888729175	0.0725606227907114	LAMTOR5	1305.902829536443	-0.6360939501729094	0.14698765885607434	-4.327533040006797	1.5078873134579788e-5	3.708008511741444e-4
ENSG00000174827	90.4974121380411	-0.9601073556796661	0.41917356906107706	-2.290476849077692	0.021993689119666537	0.07699531592333635	PDZK1	90.4974121380411	-1.0501428009964386	0.41035501444589906	-2.559108001676165	0.010494113326762904	0.05997053779770874
ENSG00000163346	3011.3254361503436	-0.6951976883086531	0.29812876656218446	-2.331870541461644	0.01970750263134606	0.071180539011841	PBXIP1	3011.3254361503436	-0.683136050475454	0.2977452819316403	-2.2943639813318555	0.02176960027497582	0.09956472278628273
ENSG00000132718	183.18899078741777	-0.4810104628939045	0.17525341641609835	-2.7446566961745122	0.00605742282787199	0.029822936428225724	SYT11	183.18899078741777	-0.8160358834152742	0.17104728470199604	-4.770820447907124	1.834770395835959e-6	6.458121974166716e-5
ENSG00000143164	4553.6923404505105	-0.33109472003513696	0.10433758506505669	-3.1733025048326775	0.0015071540102216986	0.01042285515599499	DCAF6	4553.6923404505105	-0.34514617875471976	0.10375075952399054	-3.3266858029594544	8.788540690320133e-4	0.009212571741145068
ENSG00000143153	14454.37027995802	-0.7371963144564504	0.21320195434442282	-3.457737133429494	5.447326079256621e-4	0.0048142920668498585	ATP1B1	14454.37027995802	-0.6752574786691854	0.21307940060128053	-3.1690415721261767	0.0015294251756119838	0.014016640042733695
ENSG00000135842	329.96613130082955	-0.5022133015091924	0.19133736725068534	-2.624752857873315	0.0086711881291086	0.03880481993962935	NIBAN1	329.96613130082955	-0.5612118772150362	0.18686912436279313	-3.003234906401569	0.002671261567138654	0.021455250204518016
ENSG00000157181	942.3688290841296	-0.48264566021333494	0.16266017457219367	-2.9672023990059206	0.003005230564606288	0.01750018430325828	ODR4	942.3688290841296	-0.6312373218980853	0.1611412787186922	-3.9172912547135113	8.954953085468851e-5	0.0016135769292398767
