Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000142871	6803.479391273121	-2.2216739232768448	0.05522817066060274	-40.227186537280794	0	0	CCN1
ENSG00000163545	1513.8934858467162	-3.97038097060522	0.09382803587789083	-42.31550765671288	0	0	NUAK2
ENSG00000171848	6350.149716673618	-2.217043275567019	0.05726463628780752	-38.715748833614086	0	0	RRM2
ENSG00000144655	2833.5880800671875	-2.8367870894522853	0.06737564826056579	-42.10404148515815	0	0	CSRNP1
ENSG00000120738	12883.444419373018	-2.365812102539009	0.05268602707771515	-44.90397613487329	0	0	EGR1
ENSG00000132911	3639.674274269398	-2.5548596690216114	0.06284754235287122	-40.65170368439859	0	0	NMUR2
ENSG00000104738	5677.480634077895	-2.170298286992089	0.056893955134659294	-38.14637744652002	0	0	MCM4
ENSG00000170525	16849.7904703375	-2.4830935340788103	0.04853048915734797	-51.165639934681074	0	0	PFKFB3
ENSG00000100906	3910.8113665039573	-3.087426315789613	0.06613667983335408	-46.68251148332609	0	0	NFKBIA
ENSG00000138623	7444.65060330599	-2.903653287493944	0.056289609112774495	-51.5841792696866	0	0	SEMA7A
ENSG00000101057	18101.464719382453	-2.0498149815529754	0.05015919674254846	-40.86618436244179	0	0	MYBL2
ENSG00000019186	6242.418643361071	-2.3660409952311903	0.053758022591900975	-44.01279811187942	0	0	CYP24A1
ENSSASG00005000002	2065376.029006503	-7.177163227778415	0.1733646242267985	-41.39923735761184	0	0	ORF1ab
ENSSASG00005000004	3478025.2428295673	-7.5730685819843915	0.15942052864829565	-47.50372267734513	0	0	S
ENSSASG00005000006	1914483.5142232913	-7.6892845941509975	0.15267134185818576	-50.364950622451886	0	0	ORF3a
ENSSASG00005000010	620201.912389891	-7.699917986161254	0.13815575871821503	-55.73360139019717	0	0	E
ENSSASG00005000007	3911474.3017800325	-7.88286256427531	0.06391942580616274	-123.32499024913473	0	0	M
ENSSASG00005000011	300197.6602451913	-7.563251590171918	0.1657990965431214	-45.616965036988915	0	0	ORF6
ENSSASG00005000009	2125628.0087652607	-7.387636541430799	0.12954803647845284	-57.026233220134934	0	0	ORF7a
ENSSASG00005000005	22206255.49038909	-6.674741693039954	0.055140841756725824	-121.0489626271583	0	0	N
ENSSASG00005000013	1894061.8542411837	-7.1949621158825785	0.05268188472163399	-136.5737416931848	0	0	ORF10
ENSG00000168496	5678.8815564674	-2.162935072460157	0.05771323094692363	-37.47728271268187	2.1598240664763794e-307	1.211499314488263e-304	FEN1
ENSG00000112118	6795.608087806308	-1.9687470265984843	0.05427913582914607	-36.27078796529648	4.673528024938126e-288	2.3831806430803803e-285	MCM3
ENSG00000103064	1950.8246814900886	-2.848856445455629	0.07871841599447824	-36.19046965649645	8.597964508575951e-287	4.193750645193883e-284	SLC7A6
ENSG00000100311	3075.419054094082	-2.349508080414446	0.0653858243238519	-35.93298860587089	9.332716424371608e-283	4.362461633617204e-280	PDGFB
ENSG00000135829	14505.082136772127	-1.9602391580518335	0.05489229401459317	-35.71064378418402	2.7025031446073737e-279	1.2374706746031765e-276	DHX9
ENSG00000198727	78497.21195289305	-1.80907632259382	0.05120716773555494	-35.32857610747557	2.1389228730886448e-273	9.229040866055755e-271	MT-CYB
ENSG00000176890	4631.353933188163	-1.9534129946034806	0.05671908942006193	-34.44013319989134	6.327350284756189e-260	2.5812137879831747e-257	TYMS
ENSG00000166508	9633.524717203334	-1.902741044575967	0.05620423973451737	-33.854048263327265	3.1640278845011954e-251	1.223987821457816e-248	MCM7
ENSG00000163874	1400.947548607995	-2.9343739530233517	0.08677354856588872	-33.816456760382785	1.1300793458601032e-250	4.2975576750954465e-248	ZC3H12A
ENSG00000127329	7836.181493196457	-2.2300216381712956	0.06607427428246508	-33.75022521833589	1.0609689384783882e-249	3.967493345439933e-247	PTPRB
ENSG00000006062	3463.6700219010054	-2.2431868881906967	0.06715810933479348	-33.40157890699492	1.3004847764519417e-244	4.42105711049276e-242	MAP3K14
ENSG00000111602	5619.761375805602	-1.8905754291690875	0.057216395915128004	-33.042546615020534	1.9905134590214003e-239	6.472630504356979e-237	TIMELESS
ENSSASG00005000008	1910441.8328048647	-7.317362009540359	0.22434724175048615	-32.616233444396705	2.414386775052036e-233	7.629802263639794e-231	ORF8
ENSG00000093009	1688.1234946407203	-2.6627500052118807	0.08293954651731184	-32.10470899616131	3.789746847764866e-226	1.1648020551137027e-223	CDC45
