Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000127603	37938.29990790693	-1.6590796273327408	0.09982109614277314	-16.620531044457532	4.949228714741321e-62	7.663385741905461e-58	MACF1
ENSG00000196367	3903.3438046964525	-1.1423297604183735	0.08477622991369946	-13.474646862466553	2.2053797858325768e-41	1.707405030191581e-37	TRRAP
ENSG00000038382	4485.526019334903	-1.075470726826323	0.08240584562170263	-13.050903351728778	6.279833444814142e-39	3.2412313686500723e-35	TRIO
ENSG00000197077	8271.403310254185	-0.97532483566981365	0.07885976509556793	-12.36783845967389	3.9018056476271585e-35	1.510388966196473e-31	KIAA1671
ENSG00000106261	1975.3679680032265	-1.4153417498689413	0.11650334203639966	-12.148507717716285	5.842220804067874e-34	1.8092189386037396e-30	ZKSCAN1
ENSG00000092148	5473.525827878881	-1.177750026081897	0.09885510365915239	-11.913902089898384	1.0017705239582036e-32	2.5852357988281373e-29	HECTD1
ENSG00000038219	1366.6598921681496	-1.5068362613664554	0.12677062248468648	-11.886320598831775	1.3941402126519228e-32	3.0838381503860534e-29	BOD1L1
ENSG00000196914	7792.483756416069	-1.0287308486565212	0.08686826850377603	-11.842423779999757	2.3554579863416553e-32	4.5589889325642736e-29	ARHGEF12
ENSG00000054654	7491.023737244322	-1.5435200896727173	0.13178891957062608	-11.712062703765776	1.1055678055642542e-31	1.7118611901356913e-28	SYNE2
ENSG00000182253	714.2947082983437	-1.4173657049212613	0.12100909654230464	-11.712885604643382	1.0948874573190269e-31	1.7118611901356913e-28	SYNM
ENSG00000088387	1139.081436076995	-1.3067134647493681	0.11724338348125427	-11.145306677014274	7.548379905195777e-29	1.0625374041095584e-25	DOCK9
ENSG00000068650	6364.557909695159	-1.0792992060604663	0.09806936004081887	-11.005468023970336	3.596436152537432e-28	4.640601448824133e-25	ATP11A
ENSG00000115306	49194.887702135864	-1.1421723389066907	0.10707790132512497	-10.666741921273433	1.4564399651137863e-26	1.7347320322939898e-23	SPTBN1
ENSG00000124486	7729.8028858432335	-1.0676414583124676	0.10115667652778403	-10.55433506674397	4.850617261459959e-26	5.364782691174715e-23	USP9X
ENSG00000005810	1403.9805004931268	-1.6337810333174005	0.15627604779821716	-10.454455793679466	1.3979902005999322e-25	1.4430986844059568e-22	MYCBP2
ENSG00000005339	5413.2071783796	-1.3459821924432467	0.12887904002078437	-10.443763332083941	1.564815126111875e-25	1.514349838294767e-22	CREBBP
ENSG00000157933	2931.1459741167455	-1.0589375533119048	0.10172476388971481	-10.40983053506966	2.2361936773924673e-25	2.0367778176908804e-22	SKI
ENSG00000165671	4530.7652927421	-1.2532506017786713	0.12399645456109266	-10.10714867787771	5.135721604053651e-24	4.4178618509537065e-21	NSD1
ENSG00000172915	898.6195304866942	-1.5550529285182924	0.15541413192857473	-10.00586567785846	1.436299431083137e-23	1.1705084416258575e-20	NBEA
ENSG00000167548	3922.56824877573	-1.6447018037808154	0.16467356235752229	-9.987649384847874	1.7262670184477323e-23	1.3364759256822344e-20	KMT2D
ENSG00000151276	3744.2698036308193	-1.207467224243681	0.12175400600609386	-9.917268957731432	3.5020735224609846e-23	2.582195543894566e-20	MAGI1
ENSG00000048707	2547.0880876452857	-1.116986032244825	0.11413304925048097	-9.786701043914482	1.284174882505414e-22	9.023822610615228e-20	VPS13D
ENSG00000183495	5805.39638130855	-1.1123228811562769	0.11370694109766805	-9.78236570624877	1.340402480264468e-22	9.023822610615228e-20	EP400
