Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000198417	729.6612391999793	7.798484469375949	0.20691637019132914	37.689064727768674	0	0	MT1F
ENSG00000187193	290.00877138502017	8.401602172167538	0.31898230414689505	26.33877197243676	6.901887820502467e-153	3.816053775955814e-149	MT1X
ENSG00000125148	1613.1498845875449	8.419516611683147	0.3213474242502879	26.200666245656404	2.611345332257274e-151	1.1258151106467063e-147	MT2A
ENSG00000149599	138.52874976114856	7.088664868058723	0.29778134253025496	23.80493286727158	2.9691659227124163e-125	9.380867649529686e-122	DUSP15
ENSG00000169715	398.2004962051498	10.557064744184744	0.45604438208803305	23.149204680141963	1.4808157095138756e-118	3.4880192153764486e-115	MT1E
ENSG00000103061	1268.443817219278	2.1099485031146217	0.09115631673481674	23.146487031202486	1.5771474115465948e-118	3.4880192153764486e-115	SLC7A6OS
ENSSASG00005000013	619678.9535480053	5.9938099475138245	0.26922957631254796	22.26282130517349	8.474291226277655e-110	1.3386958911454045e-106	ORF10
ENSG00000113070	767.1204730838377	2.4521975168713017	0.1116116834938899	21.970795888994413	5.479985728954392e-107	6.733075798975297e-104	HBEGF
ENSG00000104808	171.76441187266758	3.4762443344710365	0.17743483881668767	19.59166732787145	1.821270487049924e-85	1.3426406030532042e-82	DHDH
ENSG00000158014	197.06043029811931	9.968482451226738	0.5230791471818991	19.057311890432196	5.713588786515899e-81	3.9488040500808003e-78	SLC30A2
ENSG00000114812	659.9231304299625	2.481539966891144	0.13046280116752842	19.02105385353927	1.141655797985982e-80	7.651169584320598e-78	VIPR1
ENSG00000166173	1276.0908943150448	1.5340628497190276	0.0821920827329606	18.66436277935854	9.651956662606163e-78	5.473401885902511e-75	LARP6
ENSG00000107485	176.78083473343162	2.926335223827564	0.15834558416990163	18.480687283881974	2.9539444963933515e-76	1.5192892205171017e-73	GATA3
ENSG00000255112	4048.6778521872775	1.914581460241802	0.1046083044631527	18.302384978586435	7.920449609636441e-75	3.808014425363468e-72	CHMP1B
ENSG00000090861	23598.068707916475	1.7519783328235319	0.09665804468426546	18.12553045684286	2.0040112612586758e-73	9.233481886249348e-71	AARS1
ENSG00000146678	1089.1820685753537	5.288319064296234	0.29560385665571076	17.88988521369506	1.4139932536903545e-71	6.0138220766569e-69	IGFBP1
ENSG00000037042	587.079308423631	2.529993172430856	0.14158146851752035	17.869522042129233	2.0373239378305004e-71	8.501406831897989e-69	TUBG2
ENSG00000203705	538.8003408633351	2.192733491190017	0.12391132765048125	17.69598900090149	4.502557265747556e-70	1.6877721438859823e-67	TATDN3
