sample,run
4. NonInf 4u8C_100uM,AS-865898-LR-66093
3. NonInf 4µ8C_50µM,AS-865897-LR-66093
2. NonInf-DMSO,AS-865896-LR-66093
5. NonInf KIRA8_1µM,AS-865899-LR-66093
12. MOI10 KIRA8_2µM,AS-865905-LR-66093
6. NonInf KIRA8_2uM,AS-865900-LR-66093
10. MOI10 4µ8C_100µM,AS-865903-LR-66093
11. MOI10 KIRA8_1µM,AS-865904-LR-66093
8. MOI10-DMSO,AS-865901-LR-66093
9. MOI10 4µ8C_50µM,AS-865902-LR-66093
5. NonInf KIRA8_1µM,AS-865899-LR-66094
9. MOI10 4µ8C_50µM,AS-865902-LR-66094
12. MOI10 KIRA8_2µM,AS-865905-LR-66094
4. NonInf 4u8C_100uM,AS-865898-LR-66094
6. NonInf KIRA8_2uM,AS-865900-LR-66094
8. MOI10-DMSO,AS-865901-LR-66094
10. MOI10 4µ8C_100µM,AS-865903-LR-66094
3. NonInf 4µ8C_50µM,AS-865897-LR-66094
2. NonInf-DMSO,AS-865896-LR-66094
11. MOI10 KIRA8_1µM,AS-865904-LR-66094
