Geneid,gene_name,infection,concentration,treatment,foldchange Drug/DMSO [log]
ENSG00000000003,TSPAN6,NonInf,100uM,4u8C,0.18015131582302146
ENSG00000000419,DPM1,NonInf,100uM,4u8C,0.00394668003309917
ENSG00000000457,SCYL3,NonInf,100uM,4u8C,0.11240257544138643
ENSG00000000460,C1orf112,NonInf,100uM,4u8C,-0.45289598984228263
ENSG00000000971,CFH,NonInf,100uM,4u8C,-0.21689160080510383
ENSG00000001036,FUCA2,NonInf,100uM,4u8C,0.1741859646542281
ENSG00000001084,GCLC,NonInf,100uM,4u8C,0.09932075473152935
ENSG00000001167,NFYA,NonInf,100uM,4u8C,-0.17504510968803189
ENSG00000001460,STPG1,NonInf,100uM,4u8C,0.5015484182949361
ENSG00000001461,NIPAL3,NonInf,100uM,4u8C,0.5670450307634649
ENSG00000001497,LAS1L,NonInf,100uM,4u8C,-0.20045870402452692
ENSG00000001561,ENPP4,NonInf,100uM,4u8C,0.4374972351312518
ENSG00000001617,SEMA3F,NonInf,100uM,4u8C,0.2362161342614142
ENSG00000001629,ANKIB1,NonInf,100uM,4u8C,0.36688061167505914
ENSG00000001630,CYP51A1,NonInf,100uM,4u8C,-0.3207781766821274
ENSG00000001631,KRIT1,NonInf,100uM,4u8C,-0.035843310328401934
ENSG00000002016,RAD52,NonInf,100uM,4u8C,0.1511584809468971
ENSG00000002079,MYH16,NonInf,100uM,4u8C,0.08096013941687374
ENSG00000002330,BAD,NonInf,100uM,4u8C,-0.42198259513067704
ENSG00000002549,LAP3,NonInf,100uM,4u8C,0.10098737506954336
ENSG00000002586,CD99,NonInf,100uM,4u8C,0.4328332401574695
ENSG00000002587,HS3ST1,NonInf,100uM,4u8C,-0.36298275513892975
ENSG00000002746,HECW1,NonInf,100uM,4u8C,0.15682658874094102
ENSG00000002834,LASP1,NonInf,100uM,4u8C,-0.060247840466246316
ENSG00000002919,SNX11,NonInf,100uM,4u8C,-0.16044100996254684
ENSG00000003056,M6PR,NonInf,100uM,4u8C,0.035988832410017935
ENSG00000003096,KLHL13,NonInf,100uM,4u8C,-0.4572429296609908
ENSG00000003137,CYP26B1,NonInf,100uM,4u8C,-0.47816295762229544
ENSG00000003147,ICA1,NonInf,100uM,4u8C,0.8685681471875526
ENSG00000003249,DBNDD1,NonInf,100uM,4u8C,-0.15364905611297353
ENSG00000003393,ALS2,NonInf,100uM,4u8C,0.08230201902873446
ENSG00000003400,CASP10,NonInf,100uM,4u8C,-0.1675100968244081
ENSG00000003402,CFLAR,NonInf,100uM,4u8C,0.2605155211126089
ENSG00000003436,TFPI,NonInf,100uM,4u8C,0.9042096888089404
ENSG00000003509,NDUFAF7,NonInf,100uM,4u8C,-0.1507954328247223
ENSG00000003756,RBM5,NonInf,100uM,4u8C,0.00886034734456942
ENSG00000003989,SLC7A2,NonInf,100uM,4u8C,0.17750778913197252
ENSG00000004059,ARF5,NonInf,100uM,4u8C,0.231342905949262
ENSG00000004139,SARM1,NonInf,100uM,4u8C,-0.20520435756718491
ENSG00000004142,POLDIP2,NonInf,100uM,4u8C,-0.2606844799704984
ENSG00000004399,PLXND1,NonInf,100uM,4u8C,-0.4534151636855377
ENSG00000004455,AK2,NonInf,100uM,4u8C,0.04590857052765074
ENSG00000004468,CD38,NonInf,100uM,4u8C,-0.45509498383449376
ENSG00000004478,FKBP4,NonInf,100uM,4u8C,-0.44251570214807145
ENSG00000004487,KDM1A,NonInf,100uM,4u8C,-0.1879466200658353
ENSG00000004534,RBM6,NonInf,100uM,4u8C,-0.15158409649316695
ENSG00000004660,CAMKK1,NonInf,100uM,4u8C,-0.255473811979245
ENSG00000004700,RECQL,NonInf,100uM,4u8C,-0.11237298666666007
ENSG00000004766,VPS50,NonInf,100uM,4u8C,0.4747408300086775
ENSG00000004776,HSPB6,NonInf,100uM,4u8C,0.58461324929059
ENSG00000004777,ARHGAP33,NonInf,100uM,4u8C,-0.3158478095797861
ENSG00000004779,NDUFAB1,NonInf,100uM,4u8C,0.014380753510238264
ENSG00000004799,PDK4,NonInf,100uM,4u8C,0.19054131766221438
ENSG00000004838,ZMYND10,NonInf,100uM,4u8C,-0.26963395909382815
ENSG00000004848,ARX,NonInf,100uM,4u8C,-0.43123716694373826
ENSG00000004864,SLC25A13,NonInf,100uM,4u8C,-0.4918415734451571
ENSG00000004866,ST7,NonInf,100uM,4u8C,-0.3900284195486705
ENSG00000004897,CDC27,NonInf,100uM,4u8C,-0.13677946672522268
ENSG00000004961,HCCS,NonInf,100uM,4u8C,-0.12264622046802387
ENSG00000004975,DVL2,NonInf,100uM,4u8C,0.16549965271674694
ENSG00000005007,UPF1,NonInf,100uM,4u8C,-0.4255771853594368
ENSG00000005020,SKAP2,NonInf,100uM,4u8C,0.07382005660638313
ENSG00000005022,SLC25A5,NonInf,100uM,4u8C,0.09393207967808692
ENSG00000005059,MCUB,NonInf,100uM,4u8C,0.43477205528630947
ENSG00000005073,HOXA11,NonInf,100uM,4u8C,0.21015792426467161
ENSG00000005075,POLR2J,NonInf,100uM,4u8C,-0.17099957810887823
ENSG00000005100,DHX33,NonInf,100uM,4u8C,-0.15430495318846482
ENSG00000005108,THSD7A,NonInf,100uM,4u8C,-0.8619161630507026
ENSG00000005156,LIG3,NonInf,100uM,4u8C,-0.08967824247362977
ENSG00000005175,RPAP3,NonInf,100uM,4u8C,-0.15758821193280248
ENSG00000005187,ACSM3,NonInf,100uM,4u8C,0.23742408497148482
ENSG00000005189,REXO5,NonInf,100uM,4u8C,0.34079108842778894
ENSG00000005194,CIAPIN1,NonInf,100uM,4u8C,-0.3324869746998047
ENSG00000005206,SPPL2B,NonInf,100uM,4u8C,-0.465479603127986
ENSG00000005238,FAM214B,NonInf,100uM,4u8C,0.5124253253227629
ENSG00000005243,COPZ2,NonInf,100uM,4u8C,0.2775366409585054
ENSG00000005249,PRKAR2B,NonInf,100uM,4u8C,0.364721371531596
ENSG00000005302,MSL3,NonInf,100uM,4u8C,-0.29620757532981834
ENSG00000005339,CREBBP,NonInf,100uM,4u8C,-0.1012432913597685
ENSG00000005421,PON1,NonInf,100uM,4u8C,-0.03894164133862077
ENSG00000005436,GCFC2,NonInf,100uM,4u8C,0.15624762698278083
ENSG00000005448,WDR54,NonInf,100uM,4u8C,0.010630882975039668
ENSG00000005469,CROT,NonInf,100uM,4u8C,-0.19925674320759512
ENSG00000005483,KMT2E,NonInf,100uM,4u8C,-0.06589408824452647
ENSG00000005486,RHBDD2,NonInf,100uM,4u8C,-0.18590749614064173
ENSG00000005700,IBTK,NonInf,100uM,4u8C,0.4038789299117589
ENSG00000005801,ZNF195,NonInf,100uM,4u8C,-0.06801760077782149
ENSG00000005810,MYCBP2,NonInf,100uM,4u8C,-0.12181669589438293
ENSG00000005812,FBXL3,NonInf,100uM,4u8C,-0.0039327636384758335
ENSG00000005844,ITGAL,NonInf,100uM,4u8C,-0.5993322733530064
ENSG00000005882,PDK2,NonInf,100uM,4u8C,-0.2835443767690595
ENSG00000005884,ITGA3,NonInf,100uM,4u8C,0.9325100637826615
ENSG00000005889,ZFX,NonInf,100uM,4u8C,-0.23380872800538022
ENSG00000005893,LAMP2,NonInf,100uM,4u8C,0.35595394845452333
ENSG00000005961,ITGA2B,NonInf,100uM,4u8C,0.040632625369697806
ENSG00000005981,ASB4,NonInf,100uM,4u8C,-0.4365677700537418
ENSG00000006007,GDE1,NonInf,100uM,4u8C,-0.11414346989710822
ENSG00000006015,REX1BD,NonInf,100uM,4u8C,-0.35572240945744227
ENSG00000006016,CRLF1,NonInf,100uM,4u8C,-0.01219354611032486
ENSG00000006025,OSBPL7,NonInf,100uM,4u8C,0.004875911806728084
ENSG00000006042,TMEM98,NonInf,100uM,4u8C,-0.10763117329189065
ENSG00000006047,YBX2,NonInf,100uM,4u8C,0.23750401317244663
ENSG00000006062,MAP3K14,NonInf,100uM,4u8C,-0.8439938576662112
ENSG00000006071,ABCC8,NonInf,100uM,4u8C,0.5843751309889589
ENSG00000006118,TMEM132A,NonInf,100uM,4u8C,-0.5008140956700817
ENSG00000006125,AP2B1,NonInf,100uM,4u8C,0.09655394557283614
ENSG00000006194,ZNF263,NonInf,100uM,4u8C,-0.12295786438304468
