Geneid	gene_name	AS-520233-LR-53525Aligned.sortedByCoord.out.bam	AS-520225-LR-53523Aligned.sortedByCoord.out.bam	AS-520224-LR-53523Aligned.sortedByCoord.out.bam	AS-520228-LR-53524Aligned.sortedByCoord.out.bam	AS-520218-LR-52931Aligned.sortedByCoord.out.bam	AS-520229-LR-53524Aligned.sortedByCoord.out.bam	AS-520226-LR-53524Aligned.sortedByCoord.out.bam	AS-520220-LR-52931Aligned.sortedByCoord.out.bam	AS-520230-LR-53525Aligned.sortedByCoord.out.bam	AS-520222-LR-53523Aligned.sortedByCoord.out.bam	AS-520223-LR-53523Aligned.sortedByCoord.out.bam	AS-520221-LR-52931Aligned.sortedByCoord.out.bam	AS-520232-LR-53525Aligned.sortedByCoord.out.bam	AS-520219-LR-52931Aligned.sortedByCoord.out.bam	AS-520227-LR-53524Aligned.sortedByCoord.out.bam	AS-520231-LR-53525Aligned.sortedByCoord.out.bam
ENSG00000223972	DDX11L1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0
ENSG00000227232	WASH7P	1	0	0	4	0	1	0	3	3	2	5	3	0	1	3	5
ENSG00000278267	MIR6859-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243485	MIR1302-2HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	AL627309.1	2	0	0	0	3	6	2	0	4	4	1	3	1	0	7	0
ENSG00000239945	AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	CICP27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	AL627309.6	3	1	2	0	3	11	8	8	10	7	18	20	2	15	7	9
ENSG00000269981	AL627309.7	3	2	2	9	3	14	2	15	15	19	18	20	5	9	15	15
ENSG00000239906	AL627309.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	AL627309.5	0	1	2	2	2	5	3	5	6	7	3	7	0	1	5	4
ENSG00000222623	RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	AL627309.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	FO538757.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279457	WASH9P	7	8	14	58	6	14	16	57	30	24	84	27	12	18	14	68
ENSG00000273874	MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	AP006222.1	1	3	2	9	0	9	3	7	12	4	9	4	3	3	6	7
ENSG00000286448	AP006222.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	RPL23AP24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	AL732372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	AL732372.2	1	5	4	7	5	10	1	10	10	10	10	14	2	9	12	10
ENSG00000269732	WBP1LP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	CICP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	AL732372.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	FO681485.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	AL669831.3	0	0	0	5	0	0	1	1	5	1	3	6	0	3	4	4
ENSG00000235146	AC114498.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	MTND1P23	7	6	3	9	0	3	3	5	16	3	8	11	12	8	8	8
ENSG00000225630	MTND2P28	13	16	13	8	8	24	8	13	8	5	13	20	29	20	27	17
ENSG00000237973	MTCO1P12	266	256	296	376	191	337	233	560	778	653	977	515	325	553	632	1060
ENSG00000278791	AC114498.2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000229344	MTCO2P12	25	21	28	16	17	25	16	22	47	31	32	23	28	43	40	64
ENSG00000240409	MTATP8P1	3	4	2	0	2	6	0	0	6	7	7	8	0	3	3	4
ENSG00000248527	MTATP6P1	4200	4407	5479	2734	2785	5316	3012	4203	7719	7240	8723	7233	4911	7030	8790	8572
ENSG00000198744	MTCO3P12	12	15	15	10	6	20	11	10	29	22	28	13	25	16	28	38
ENSG00000268663	WBP1LP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	CICP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	AL669831.1	1	2	9	6	7	25	6	12	18	23	23	27	3	14	12	18
ENSG00000223181	RNU6-1199P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	AL669831.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	LINC01409	1	2	6	0	2	2	1	4	3	7	13	5	5	3	2	12
ENSG00000285268	AL669831.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	AL669831.4	1	2	1	0	1	4	0	0	3	1	6	4	6	4	2	2
ENSG00000177757	FAM87B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000228794	LINC01128	246	259	409	299	413	375	343	454	693	560	843	488	418	341	431	794
ENSG00000225880	LINC00115	8	3	6	3	1	2	1	7	7	4	9	7	5	0	3	14
ENSG00000288531	AL669831.7	1	0	0	3	4	0	3	2	6	1	8	0	0	1	1	12
ENSG00000230368	FAM41C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234711	TUBB8P11	0	1	0	1	0	2	0	1	7	1	1	4	0	1	0	4
ENSG00000283040	AL669831.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000272438	AL645608.6	0	1	1	3	0	0	0	0	1	0	1	0	0	0	1	0
ENSG00000230699	AL645608.2	0	1	0	2	0	0	3	1	2	1	4	2	0	1	0	9
ENSG00000241180	AL645608.4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000223764	LINC02593	2	7	14	3	29	20	29	0	8	1	2	23	12	20	13	9
ENSG00000187634	SAMD11	37	40	38	50	89	66	95	69	40	39	88	119	45	96	93	64
ENSG00000188976	NOC2L	9051	10115	11891	6854	7627	6722	7287	10843	15384	14184	19947	10786	13093	6204	6513	20383
ENSG00000187961	KLHL17	85	66	72	211	71	225	97	255	249	277	334	349	81	188	178	390
ENSG00000187583	PLEKHN1	429	488	562	687	540	366	579	888	1035	906	1665	663	604	579	493	1806
ENSG00000187642	PERM1	0	0	2	23	3	2	4	19	9	2	28	2	0	5	2	17
ENSG00000272512	AL645608.7	20	17	17	41	8	6	8	58	16	25	70	18	22	18	22	54
ENSG00000188290	HES4	208	239	282	472	156	205	170	349	416	448	654	396	266	224	169	570
ENSG00000187608	ISG15	597	707	814	1535	1035	862	931	1922	1811	1760	2614	1432	861	865	697	2718
ENSG00000231702	AL645608.3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1
ENSG00000224969	AL645608.1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
ENSG00000188157	AGRN	34462	38750	49010	126114	70573	52580	69116	149619	153218	154700	274243	95185	52086	64214	52163	273141
ENSG00000242590	AL645608.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	AL390719.1	257	307	351	1762	322	310	334	2592	1033	948	1973	456	387	348	416	1978
ENSG00000273443	AL645608.8	4	3	6	28	8	2	0	34	16	5	31	6	3	7	6	27
ENSG00000237330	RNF223	251	252	466	350	178	129	159	398	408	419	524	230	473	249	220	504
ENSG00000131591	C1orf159	755	888	1019	466	792	764	733	614	1519	1528	1517	1421	1090	880	650	1562
ENSG00000285812	AL390719.3	0	0	0	0	0	0	0	0	2	1	4	0	0	0	0	0
ENSG00000223823	LINC01342	8	4	9	4	10	7	9	9	15	10	14	23	12	6	8	6
ENSG00000207730	MIR200B	0	4	0	0	0	2	0	0	2	1	0	5	0	1	0	2
ENSG00000207607	MIR200A	0	1	2	3	0	1	2	0	1	0	2	5	1	3	0	3
ENSG00000198976	MIR429	0	0	1	0	0	7	2	2	4	4	1	15	2	1	3	13
ENSG00000272141	AL390719.2	18	14	11	15	32	90	30	12	61	82	52	139	15	58	39	50
ENSG00000205231	TTLL10-AS1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1
ENSG00000162571	TTLL10	3	4	3	2	3	5	3	2	3	4	7	3	2	3	10	5
ENSG00000186891	TNFRSF18	4	12	10	107	17	7	15	124	57	39	117	12	13	14	3	125
ENSG00000186827	TNFRSF4	0	1	0	4	1	0	0	4	0	0	2	0	1	2	0	1
ENSG00000078808	SDF4	7750	8749	10310	15149	11627	9480	11241	21281	23771	22289	34365	15880	11952	10360	10511	33926
ENSG00000176022	B3GALT6	1138	1305	1767	1756	1821	1629	1879	2377	5881	5952	7278	2615	1911	2428	2461	7147
ENSG00000184163	C1QTNF12	43	64	37	253	94	67	102	287	243	224	506	109	58	79	91	435
ENSG00000260179	AL162741.1	2	1	3	0	2	1	2	2	8	6	8	2	2	3	8	5
ENSG00000160087	UBE2J2	1507	1811	2145	1683	1721	1870	1777	2119	3047	2921	3806	2966	2454	1682	1623	3744
ENSG00000230415	LINC01786	0	3	0	5	2	2	1	6	13	13	10	9	2	1	0	8
ENSG00000162572	SCNN1D	5	11	14	136	15	31	13	164	76	68	146	62	5	14	18	151
ENSG00000131584	ACAP3	842	934	1204	668	1231	1312	1178	848	1630	1685	1654	2255	1268	1345	1265	1569
ENSG00000278073	MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	PUSL1	1131	1253	1399	540	925	1010	884	673	1596	1619	1456	1666	1545	1214	1119	1495
ENSG00000127054	INTS11	3550	3821	4265	2831	4157	3350	3980	4331	7679	7164	9883	5587	4662	3579	3608	10191
ENSG00000283712	MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	AL139287.1	3	5	4	4	2	8	4	6	3	11	10	14	8	5	2	9
ENSG00000224051	CPTP	2101	2545	2735	2125	2890	2164	2858	2683	4631	4593	5790	3957	3070	3045	2678	5615
ENSG00000169962	TAS1R3	7	11	7	7	20	10	17	6	21	20	25	18	6	8	18	19
ENSG00000107404	DVL1	3430	3946	5068	4564	5597	4535	5552	6146	9641	9435	12205	7907	5679	7042	6010	11886
ENSG00000284372	MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	MXRA8	9	11	11	69	27	7	18	89	43	48	102	11	11	11	9	103
ENSG00000175756	AURKAIP1	3744	4431	4871	2901	3924	3705	4008	3435	6571	6659	7154	6458	5310	3302	2941	7194
ENSG00000223663	NDUFB4P8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000221978	CCNL2	342	394	490	528	458	911	469	786	1101	1030	1044	1389	509	879	893	1035
ENSG00000224870	MRPL20-AS1	507	531	714	465	802	793	851	806	1539	1407	1488	1297	845	913	954	1544
ENSG00000242485	MRPL20	2193	2444	3127	2320	2452	2404	2439	3536	4598	4208	5869	3673	3360	1754	1933	6008
ENSG00000264293	RN7SL657P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	AL391244.2	9	14	12	19	12	13	14	38	41	26	53	24	9	12	26	55
ENSG00000235098	ANKRD65	5	5	1	7	1	2	1	12	5	0	6	3	2	0	0	6
ENSG00000225905	AL391244.1	0	1	1	1	1	1	1	3	3	3	0	1	0	1	0	3
ENSG00000205116	TMEM88B	0	1	0	0	0	1	0	4	0	1	2	1	1	1	1	2
ENSG00000225285	LINC01770	5	12	10	7	14	12	26	21	26	50	55	23	11	12	12	69
ENSG00000179403	VWA1	3421	3907	4513	3396	4712	3647	4754	4381	7301	7554	7808	6449	4946	4152	3615	7904
ENSG00000215915	ATAD3C	2	0	0	6	0	2	4	3	1	2	3	1	1	0	2	2
ENSG00000160072	ATAD3B	1186	1301	1591	145	792	827	768	216	971	888	523	1430	1682	1072	926	548
ENSG00000284740	AL645728.2	1	5	6	8	8	5	5	6	15	17	19	8	2	3	6	22
ENSG00000197785	ATAD3A	2218	2539	3139	758	1732	1639	1752	1034	3616	3642	3430	2801	3222	1988	1821	3568
ENSG00000205090	TMEM240	14	9	32	38	15	33	22	27	47	51	68	57	32	31	23	60
ENSG00000160075	SSU72	4400	5281	6894	3246	6523	5030	6366	4811	9926	9151	11942	7514	7780	5375	5878	11667
ENSG00000215014	AL645728.1	1	6	3	16	7	3	7	8	14	18	20	9	5	7	6	28
ENSG00000274481	AL691432.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	FNDC10	645	675	933	261	1005	715	950	395	1778	1841	1468	1266	941	927	776	1502
ENSG00000286989	AL691432.4	1	5	10	2	11	10	8	3	12	10	3	11	6	5	7	4
ENSG00000272106	AL691432.2	41	33	52	78	60	69	63	102	98	122	209	104	54	52	60	206
ENSG00000197530	MIB2	508	696	743	1402	915	943	817	1470	1708	1862	3220	1588	834	788	616	2985
ENSG00000189409	MMP23B	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
ENSG00000248333	CDK11B	741	775	1272	1585	1139	1063	994	2316	2401	2119	3649	1629	1462	976	1084	3617
ENSG00000272004	FO704657.1	2	0	0	1	1	1	2	3	8	5	9	1	0	1	1	1
ENSG00000189339	SLC35E2B	1319	1347	2828	2747	3896	3246	3823	4024	6415	5871	8771	4923	2831	2900	3405	9013
ENSG00000269737	AL691432.1	0	0	0	0	2	1	3	2	0	3	1	1	1	0	0	5
ENSG00000215914	MMP23A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008128	CDK11A	35	40	35	77	47	42	46	101	85	72	142	80	42	54	57	129
ENSG00000268575	AL031282.2	8	2	9	17	32	49	28	28	57	55	59	61	23	20	32	49
ENSG00000227775	AL031282.1	0	0	2	5	1	0	0	4	11	9	4	0	2	2	2	10
ENSG00000215790	SLC35E2A	48	60	135	157	180	254	191	190	354	301	452	399	135	179	198	471
ENSG00000008130	NADK	1868	2097	3144	2174	2862	3211	2796	3297	6377	5824	7604	5026	3343	2951	3141	7724
ENSG00000078369	GNB1	15901	16993	24227	26613	18589	16489	18338	38965	36409	33471	59997	23585	24846	17066	20081	60347
