Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000090382	8967.957844779803	-1.0089570652519664	0.09713136707257825	-10.387551371515817	2.8251286215434094e-25	2.325824310430632e-22	LYZ
ENSG00000104327	179.55487134458033	-2.332152160616169	0.2654960642392329	-8.784130820540963	1.5757821712291513e-18	9.129031378654216e-16	CALB1
ENSG00000112304	3613.4029081656245	-0.757662106894534	0.08719110714822054	-8.68967182176671	3.6348796010834406e-18	1.9605788524188682e-15	ACOT13
ENSG00000230989	6327.117320948047	-0.7174714679103246	0.08281884865588757	-8.663142262354063	4.589350919056126e-18	2.315697647608901e-15	HSBP1
ENSG00000131495	1772.7370606740724	-0.8034025667898427	0.09388086108231804	-8.557682125277815	1.1515936561920346e-17	5.458553930350244e-15	NDUFA2
ENSG00000118785	176334.37157063867	-0.8227417884315374	0.09870652372025322	-8.335232134841378	7.73462927297607e-17	3.55838444376152e-14	SPP1
ENSG00000156587	926.0558852698397	-1.175596251569227	0.1418247233548075	-8.289078404392159	1.1412929770612023e-16	5.100601356340379e-14	UBE2L6
ENSG00000089220	9067.386954356483	-0.5885698442738385	0.071700997594597915	-8.20867022801622	2.2365155965017027e-16	9.7176602667998985e-14	PEBP1
ENSG00000153292	11102.317320511442	-0.8223397956305429	0.10644123110012677	-7.725763664429879	1.1118474568120362e-14	3.7807647650986675e-12	ADGRF1
ENSG00000092621	7109.244616553319	-0.7911535203225678	0.10506188463313815	-7.530357208850465	5.0601700170505965e-14	1.6840676469511793e-11	PHGDH
ENSG00000135046	11374.855668206637	-0.6514707117487836	0.08692196029360437	-7.494892079610843	6.635293470749183e-14	2.1344416008339813e-11	ANXA1
ENSG00000109390	1138.1266751263897	-0.7818507645574136	0.10669103474191725	-7.328176790568108	2.333048261681014e-13	6.873650619143989e-11	NDUFC1
ENSG00000173812	23158.219315058468	-0.7989848810105998	0.10957257152572805	-7.291832891071605	3.057662832450344e-13	8.695993095488779e-11	EIF1
ENSG00000120727	2031.0431750751775	-0.6579392715084793	0.09125167824221798	-7.210160779312449	5.588585105593456e-13	1.53362540739812e-10	PAIP2
ENSG00000111237	2395.8863473117503	-0.6300093561800606	0.08749965602861025	-7.200135232235232	6.015287040249308e-13	1.6222606876479255e-10	VPS29
