Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000116478	11162.418020770157	-2.2061338998494326	0.06685923436185019	-32.99669702930745	9.058600396206344e-239	1.0017000318124975e-234	HDAC1
ENSG00000140835	4132.238894273063	-2.6352268304272877	0.0953766545329447	-27.629684049329242	4.896827594592025e-168	3.609941302733241e-164	CHST4
ENSG00000168906	5787.300224007463	-2.553729739966649	0.09749034423545826	-26.194694048867976	3.054300354440332e-151	1.1258151106467063e-147	MAT2A
ENSG00000228716	1158.221020457126	-3.6084597562577225	0.15504070117130106	-23.274273974488896	8.079411476266353e-120	2.2335533026138332e-116	DHFR
ENSG00000033100	1685.1844557656739	-2.5366556219959224	0.10978030086861564	-23.10665576542531	3.9689212280441e-118	7.979696534493029e-115	CHPF2
ENSG00000112118	7834.973354050974	-3.47512360808408	0.15490398616112275	-22.43404894996985	1.831839791707593e-111	3.3760807361170937e-108	MCM3
ENSG00000115107	2571.4072827714854	-2.1876398941808617	0.09790994991751292	-22.343386918529756	1.400145034610647e-110	2.3819698142653133e-107	STEAP3
ENSG00000137310	5051.379077886204	-2.186406678684169	0.09872190035115108	-22.147129166954656	1.1118187360006285e-108	1.6392655443593268e-105	TCF19
ENSG00000161888	880.1191542264716	-2.214952587776361	0.1002218560489595	-22.100494593657615	3.126240195368007e-108	4.321245510047428e-105	SPC24
ENSG00000105486	3050.468625283054	-4.043035298133702	0.18378804320528624	-21.998358694192863	2.985888258956093e-107	3.8844649844160565e-104	LIG1
ENSG00000189057	1940.312269328253	-5.027869923989671	0.23416980852934313	-21.47104255482894	2.9042966277351504e-102	3.380601274683715e-99	FAM111B
ENSG00000169683	1160.0769976022148	-3.6639623329408963	0.17213642022987466	-21.285224405433567	1.5560034598300257e-100	1.7206286258800423e-97	LRRC45
ENSG00000124160	2231.813498797348	-1.5580811777459436	0.07360004422163953	-21.169568499903754	1.822180454078865e-99	1.9190163296384845e-96	NCOA5
ENSG00000086598	15670.83279154439	-1.8471440583660004	0.08740192501578022	-21.133905895465148	3.880788890923103e-99	3.90125123234797e-96	TMED2
