Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSSASG00005000013	942499.6724217028	-11.34553540098784	0.22990278551827573	-49.34927332616397	0	0	ORF10
ENSG00000198417	243.16045709517388	-5.3786649298982265	0.2204828964597962	-24.394930474251073	1.935741992257042e-131	1.3648916787404404e-127	MT1F
ENSSASG00005000011	155222.0712451318	-11.029210785353975	0.47530953083820005	-23.20427020662547	4.122961855120821e-119	1.7442602424274146e-115	ORF6
ENSG00000128272	13585.929486262747	-1.4822394593871424	0.07253169996098287	-20.435746855298948	8.045247221125272e-93	2.1272639308557862e-89	ATF4
ENSG00000090861	29563.863179990956	-1.6497300358970468	0.08467832760758898	-19.482317170246002	1.5509855418536884e-84	2.982545196984643e-81	AARS1
ENSSASG00005000005	10368096.825552262	-10.97860879154014	0.6009023686386163	-18.270203887551478	1.4291577178109704e-74	2.0153982136570304e-71	N
ENSG00000135842	1168.998299958019	-2.9519264040419926	0.16721380034919636	-17.653605132336075	9.546309737031046e-70	1.187841705102457e-66	NIBAN1
ENSG00000146678	1687.126357902319	-5.39532713111311	0.30558907569385485	-17.65549739912252	9.231679914884265e-70	1.187841705102457e-66	IGFBP1
ENSG00000166173	1692.671984004369	-1.5550886773844947	0.08818229201942107	-17.63493147855587	1.328571331689716e-69	1.561292743290698e-66	LARP6
ENSG00000187595	308.7942269919808	-2.6905082844346535	0.1554420332768433	-17.3087563750716	4.0404790996269523e-67	4.498329178653101e-64	ZNF385C
ENSSASG00005000004	1839363.2288743206	-11.018946738359466	0.654140170390177	-16.844932075929474	1.1430014529987788e-63	1.1513290350134843e-60	S
ENSSASG00005000007	2085063.016420127	-10.938147521998495	0.6563678576574824	-16.664660516795802	2.368294296107106e-62	2.178109967197983e-59	M
ENSG00000169435	1064.4927703466196	-1.5237673794501074	0.09399705722194154	-16.210798768436526	4.230344311932062e-59	3.3142397492703297e-56	RASSF6
ENSG00000107485	209.8926532193621	-2.5986827209704053	0.1609525118007261	-16.145648750035114	1.2186049178736381e-58	9.206124938493237e-56	GATA3
ENSSASG00005000008	979052.3448895355	-11.222237617616967	0.6956534679824589	-16.131936566296165	1.5217302711126884e-58	1.1099710491326447e-55	ORF8
ENSG00000125148	373.2847341571554	-5.413674769594348	0.3429274972345848	-15.786645320806807	3.8449138266491218e-56	2.6235955540357702e-53	MT2A
ENSG00000037042	678.817829418041	-2.1756936088863696	0.13818510048892424	-15.744777122774934	7.459346502444051e-56	4.930861142693719e-53	TUBG2
ENSG00000178607	1135.7581225377096	-2.3442202995746326	0.15060344874463288	-15.565515392343727	1.2486031145865403e-54	7.768147553779143e-52	ERN1
ENSG00000104231	1084.3430400278776	-1.7959478707857792	0.11596705124020903	-15.486708091471016	4.2658050246892515e-54	2.5781306767786213e-51	ZFAND1
ENSSASG00005000009	1094083.158766566	-11.1883470116686	0.7226076306645383	-15.483294857237196	4.498317654515855e-54	2.643136481832608e-51	ORF7a
ENSG00000113070	846.9442411205939	-1.8039386024206765	0.11912974462983814	-15.142638037426368	8.474495200967491e-52	4.596435820155521e-49	HBEGF
ENSSASG00005000010	329188.62058015115	-10.766415434590177	0.7122657710331558	-15.115727685430222	1.2755419203469124e-51	6.74538456027456e-49	E
ENSSASG00005000012	61172.86751471263	-11.096189060529172	0.7360877121310679	-15.074547336762745	2.3814243370786193e-51	1.2286407073713178e-48	ORF7b
ENSG00000186162	436.2942144747707	-2.1156550511368097	0.1403987201850647	-15.068905530962729	2.5937420194811726e-51	1.306319641382982e-48	CIDECP1
ENSG00000105281	30491.782806498668	-1.4667563837168842	0.09861041011333306	-14.874254980089216	4.843467494622099e-50	2.2767526203053614e-47	SLC1A5
ENSG00000203705	632.8710136868619	-1.789982608188832	0.12056487070024641	-14.84663482648411	7.314954627073213e-50	3.3637659831843407e-47	TATDN3
ENSG00000273151	1405.4098855126174	-2.0319099153992313	0.14045214319892158	-14.466919970893208	1.960568315121924e-47	7.824887088636615e-45	AC073957.3
ENSG00000104808	148.37777530937169	-2.5032312508601744	0.17546305406441884	-14.266429273145716	3.542587273676752e-46	1.2920060103462816e-43	DHDH
ENSG00000130066	3547.6864118685708	-1.866984546261717	0.13293958353484275	-14.043857341951055	8.401251668939552e-45	2.8208202627472752e-42	SAT1
ENSG00000103061	1284.5531184049105	-1.2283988449862815	0.08891393485958896	-13.815594225203771	2.052534845028125e-43	6.480189489086556e-41	SLC7A6OS
ENSG00000140105	10694.354891030476	-1.6364515286201395	0.11895832810012355	-13.756510828252301	4.654544893739387e-43	1.3674665019065174e-40	WARS1
ENSSASG00005000006	1016945.4142925441	-10.696299621258516	0.7814124597347251	-13.68841702996355	1.1907514794720684e-42	3.2711644214639824e-40	ORF3a
ENSG00000172432	3701.898809591385	-1.4907576980687793	0.10962195915558672	-13.599079140274654	4.055068799157426e-42	1.072210878857213e-39	GTPBP2
ENSG00000114812	674.1558245324753	-1.731271694171361	0.12910434831381246	-13.409863546680697	5.293613316385404e-41	1.3173623821352995e-38	VIPR1
ENSG00000187193	59.7856175084913	-4.909869003606622	0.3668767782995818	-13.382883011465374	7.613588068776059e-41	1.8726770746374417e-38	MT1X
ENSG00000169715	55.967364187790274	-6.697175497040635	0.5017199693290939	-13.348433202681129	1.2096647259849512e-40	2.9411537872137555e-38	MT1E
ENSG00000185753	1402.5484939630783	-1.469299118837735	0.11029054160357195	-13.322077283099942	1.7224727983290799e-40	4.1403939889835256e-38	CXorf38
ENSSASG00005000002	1087536.8952319117	-11.365782371376813	0.8597675513936708	-13.219599126476737	6.762338464775442e-40	1.589374950504388e-37	ORF1ab
ENSG00000135069	3254.8514632114525	-1.7130064247874008	0.130353191599595	-13.141269529090097	1.909952048027169e-39	4.39143648607812e-37	PSAT1
ENSG00000240230	2327.4491110865138	-1.1207432182817658	0.08596887381877796	-13.036616260023226	7.574472095015274e-39	1.7044979598495542e-36	COX19
ENSG00000173812	23815.683806640714	-1.0942259594467565	0.08580894534431081	-12.751886823176115	3.0429005925405713e-37	6.436647623401071e-35	EIF1
ENSG00000228705	84.59522387303831	-3.2023127355847825	0.2511922843482651	-12.748451824041464	3.179977796820702e-37	6.66000696397508e-35	LINC00659
ENSG00000205763	215.81806219610542	-1.9201211332260986	0.1521045898121066	-12.623689630917822	1.5632190642233638e-36	3.149216463382554e-34	RP9P
ENSG00000172216	2972.401920886172	-1.6051041066703067	0.1273035004688055	-12.608483669022299	1.8960590053256502e-36	3.7483491719302315e-34	CEBPB
ENSG00000100814	3734.201340100923	-1.8254433840890805	0.14520678943278462	-12.571336307480772	3.035493224180845e-36	5.9453507565830945e-34	CCNB1IP1
ENSG00000143355	212.41135903314614	-3.4065463996640144	0.2723860345358209	-12.506318121151791	6.894659519175782e-36	1.313898493775904e-33	LHX9
ENSG00000165714	814.6340381599072	-1.1547268075582835	0.09320715355827905	-12.388821710302254	3.004250463552146e-35	5.5744657943437316e-33	BORCS5
ENSG00000272888	707.6095236873003	-1.7057935616216942	0.13866922926844474	-12.301168547778614	8.927318193602909e-35	1.6279272564593303e-32	LINC01578
ENSG00000149599	37.56087915740695	-4.528810071518967	0.3697375259781001	-12.248716327991042	1.7067604768583783e-34	3.0857354159816476e-32	DUSP15
ENSG00000215182	37021.8440074748	-1.2051653229026953	0.09886259864980984	-12.190305933304671	3.501045725272698e-34	6.22332943081457e-32	MUC5AC
ENSG00000101255	8297.949293178344	-3.000769193013207	0.24696301222789344	-12.150682670829049	5.688858040137259e-34	1.0028034510251953e-31	TRIB3
ENSG00000139410	852.0295927290183	-1.710672736588891	0.14128225622625928	-12.108192368115215	9.557727609940041e-34	1.6571689519103415e-31	SDSL
ENSG00000187720	2714.5060943923304	-1.2208498503076917	0.10097100847019826	-12.091092966235227	1.1771027213425018e-33	1.991940309164635e-31	THSD4
ENSG00000170485	5054.499789138196	-0.8347591418390824	0.06913966574661305	-12.073520067313527	1.4576308409541068e-33	2.4470845379922396e-31	NPAS2
ENSG00000146648	9326.930010459919	-1.1931991976406702	0.09908226122492005	-12.042510767210572	2.123913727978975e-33	3.537570636845611e-31	EGFR
ENSG00000179562	2947.9585474855758	-1.3234190063131854	0.11051358260915668	-11.975170608608362	4.7945031377943294e-33	7.861870145252981e-31	GCC1
ENSG00000135046	14065.703075396223	-1.0502149055618109	0.08780688086614725	-11.960508051330939	5.721081355461987e-33	9.309079531699031e-31	ANXA1
ENSG00000073737	47.66584796266938	-4.056944533011101	0.33956471261685595	-11.94748565522681	6.691928872997103e-33	1.0805677209962421e-30	DHRS9
ENSG00000188573	401.2988628568043	-1.6650638339671981	0.13944488672722583	-11.940658944521225	7.264537919901529e-33	1.16414220166422e-30	FBLL1
ENSG00000099875	4861.038019269342	-1.0534616337782239	0.08862100396683578	-11.887268103760773	1.3784180121812047e-32	2.1282975336984688e-30	MKNK2
ENSG00000116584	6676.4498870506995	-1.9224308099636092	0.1633229420410265	-11.77073340670472	5.524214945424699e-32	8.346694195754904e-30	ARHGEF2
ENSG00000130158	3187.5131590792603	-1.112059974117344	0.09454097062924699	-11.762730662861626	6.07376038879551e-32	9.11193287263769e-30	DOCK6
ENSG00000270504	165.68024242575092	-1.6926382074429287	0.14402485253537659	-11.752403683434904	6.86381992465477e-32	1.0224674849733969e-29	AL391422.4
