Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000135929	1609.345096645483	-1.0873671581577944	0.10093939034877407	-10.772475981880158	4.64343017216725e-27	3.0311045773860853e-24	CYP27A1
ENSG00000118785	166609.9277223663	-0.770993151625113	0.07834097196606558	-9.841506076272308	7.458581583814802e-23	4.284507605006575e-20	SPP1
ENSG00000090382	8167.7381680797835	-1.0208038191325917	0.10828443587534343	-9.427059492720971	4.2174632980495224e-21	2.163106800831757e-18	LYZ
ENSG00000112304	2985.494410592891	-0.7221692108102635	0.0857531905331039	-8.421485035375792	3.7174181596523066e-17	1.4428605997504536e-14	ACOT13
ENSG00000104327	187.91182726306513	-2.3321069593923798	0.27801550128989755	-8.388406216819549	4.92776939674659e-17	1.862307797544152e-14	CALB1
ENSG00000131495	1599.9442986309468	-0.7646425158233515	0.09203500235593258	-8.308170763838337	9.718860081795046e-17	3.489313740866466e-14	NDUFA2
ENSG00000173812	14523.299756565773	-0.7380848283300565	0.08927386057103558	-8.267647703470372	1.3662792005275517e-16	4.785642828969797e-14	EIF1
ENSG00000198258	2840.136218152433	-0.7209463351255527	0.0875092819094615	-8.238512754240805	1.7436447841994542e-16	5.962019701401991e-14	UBL5
ENSG00000102048	723.7852172637281	-0.862192343292141	0.11061030758740077	-7.794864349426602	6.4477707339031285e-15	1.8156163825408396e-12	ASB9
ENSG00000156587	779.6253534170395	-1.1329774378189728	0.14567945144132274	-7.777194563883413	7.415052029644873e-15	2.009199286749623e-12	UBE2L6
ENSG00000230989	5680.098939020556	-0.7022049336239625	0.09317608279799706	-7.536321688327697	4.8341321016595874e-14	1.2396959127130952e-11	HSBP1
ENSG00000089220	8688.387294065236	-0.5632981967734356	0.07598633501541693	-7.4131512812027	1.2333306025742063e-13	2.85675173928519e-11	PEBP1
ENSG00000153292	11216.818087248597	-0.7973982278340775	0.11028558148759902	-7.230303518177854	4.819157536892202e-13	1.0030133534392595e-10	ADGRF1
ENSG00000035862	15086.403825877755	-0.6725238113538535	0.09309741786806557	-7.223871797464146	5.052789544380416e-13	1.0366158663835308e-10	TIMP2
ENSG00000130234	241.97744968552155	-1.4910444949161883	0.20648419395956186	-7.221107176892176	5.156599030421497e-13	1.040298785077096e-10	ACE2
ENSG00000109390	953.4617107186808	-0.7414381398964223	0.10495159928207413	-7.064572097693235	1.6111167789446376e-12	2.9663138541569156e-10	NDUFC1
ENSG00000189043	4034.192419311341	-0.7779371369285613	0.11098170156518276	-7.009598212653608	2.3900347240258712e-12	4.3447200850298146e-10	NDUFA4
ENSG00000196083	5404.057568534227	-0.6822893437848361	0.09808867365741576	-6.955842283766605	3.504617664185579e-12	6.213557317946803e-10	IL1RAP
ENSG00000050405	4056.9511291576728	-0.8569789355773795	0.12388367770740948	-6.91760974033566	4.593275469240079e-12	7.997672930430992e-10	LIMA1
ENSG00000135046	8515.805955321477	-0.6240220665399684	0.09033716890523251	-6.9077000541670035	4.9257406057224035e-12	8.421257242711838e-10	ANXA1
ENSG00000100028	3962.067291824593	-0.5206240919637259	0.07558956931018689	-6.887512347468339	5.677644663903648e-12	9.592547649214152e-10	SNRPD3
ENSG00000148358	6248.9239598888325	-0.5737261903939873	0.08502870298739362	-6.7474413961018325	1.5047498227255374e-11	2.428057551029376e-9	GPR107
ENSG00000124102	766.9662628332098	-1.1562685884046564	0.17217555244824315	-6.7156374523742945	1.8724582415951373e-11	2.954986022807447e-9	PI3
ENSG00000092621	5894.128798725545	-0.7665903797305755	0.11448709443911068	-6.695867193470286	2.1439636949455936e-11	3.310694905711147e-9	PHGDH
ENSG00000166598	40327.565786955885	-0.5731348510402182	0.08586872927430057	-6.674546786518596	2.479973545821744e-11	3.748936851741691e-9	HSP90B1
ENSG00000111237	2268.595649465812	-0.6018549691752834	0.0902545411210495	-6.6684175854162815	2.585761843983253e-11	3.868138108483697e-9	VPS29
ENSG00000140319	1922.6984650795002	-0.5870719099178705	0.08839846732868553	-6.641200098356956	3.111392961879407e-11	4.5594606454643024e-9	SRP14
ENSG00000130066	1733.63932113897	-0.9050660852312721	0.13661874256814938	-6.624757834963962	3.478179126271756e-11	5.0454677204433015e-9	SAT1
ENSG00000176340	5740.204023834591	-0.5376826786014502	0.0816287938208201	-6.586924214287604	4.4903133120003635e-11	6.384692027092795e-9	COX8A
ENSG00000065154	1112.8964415803002	-0.7908783662463236	0.12116771767526016	-6.527137602491987	6.703845505742239e-11	9.082445783770216e-9	OAT
ENSG00000101856	5263.150805782452	-0.6768486852792658	0.10372319699512736	-6.525528569188456	6.776213993271551e-11	9.094692444614275e-9	PGRMC1
ENSG00000120727	1650.7362704839463	-0.6491244255978083	0.0998377191946898	-6.501795421948442	7.936698790862725e-11	1.0553604753294408e-8	PAIP2
ENSG00000100442	2521.0742803372427	-0.7321632242633999	0.11317665805598644	-6.4692069622802615	9.85185846478335e-11	1.2657408728752793e-8	FKBP3
ENSG00000125356	1987.2042415034095	-0.6654312985451862	0.10385080757738029	-6.407569801990867	1.4785740095187607e-10	1.862614153570081e-8	NDUFA1
ENSG00000136521	3828.5080545820383	-0.6024836672115218	0.09424261376026546	-6.392900654730576	1.6276802132911362e-10	2.0326187428760007e-8	NDUFB5
ENSG00000014641	6529.235397023295	-0.6294474824977163	0.09862653416807751	-6.382131216585423	1.7464021761130756e-10	2.1620760044103343e-8	MDH1
ENSG00000051523	18436.077156546668	-0.9592301426698298	0.15035297036097142	-6.379854953093939	1.772557873930535e-10	2.1757011647449923e-8	CYBA
ENSG00000100170	1846.4426774321867	-0.8009880969294754	0.12676022713750182	-6.318922859459789	2.633927059885164e-10	3.1521522089175704e-8	SLC5A1
ENSG00000154518	5763.519781273996	-0.5776087136329077	0.09185644175815325	-6.2881677384551935	3.2123471949286464e-10	3.8126047988735774e-8	ATP5MC3
ENSG00000166681	2413.754176846034	-0.6024569356947654	0.09622400909768307	-6.2609835252569175	3.825569448736988e-10	4.5031969551894987e-8	BEX3
ENSG00000086696	1757.2360983180524	-1.4352305290358034	0.23021181482680478	-6.234391271862264	4.5353820260100245e-10	5.2106097020423974e-8	HSD17B2
ENSG00000172428	1079.1396834582297	-0.599461818987393	0.09621981334786597	-6.23012868275002	4.660521982332534e-10	5.2700595423840566e-8	COPS9
ENSG00000139644	52142.06996573305	-0.7811845168985418	0.126723284871122	-6.16449074606146	7.071033198817951e-10	7.692962709713985e-8	TMBIM6
ENSG00000114956	2620.940163192729	-0.56670744161144	0.09238179122486467	-6.134406294764612	8.547780854933033e-10	9.160797078932335e-8	DGUOK
ENSG00000185088	669.624656578462	-0.7410280356622322	0.12087444541326707	-6.130559963511507	8.757030340538409e-10	9.247037700034712e-8	RPS27L
ENSG00000135940	3316.6566082705262	-0.6960531494939846	0.11359262866223975	-6.127626041331019	8.919993202135248e-10	9.350366596778415e-8	COX5B
ENSG00000130770	2367.849748523174	-0.6563346432611628	0.10742342839854974	-6.109790508883289	9.976200436830677e-10	1.0307065789447866e-7	ATP5IF1
ENSG00000090266	2218.139378526624	-0.5786644734854022	0.09517559105371844	-6.079967217212193	1.2020712172056197e-9	1.2330674821635645e-7	NDUFB2
ENSG00000148735	119.8899901343345	-1.221431344665057	0.20110350629837279	-6.0736451946931576	1.2503883714648079e-9	1.2735338583408585e-7	PLEKHS1
ENSG00000101019	2094.722727042161	-0.6815261384160716	0.11248155149789947	-6.059003715189674	1.3696722996075657e-9	1.3852016827228345e-7	UQCC1
ENSG00000163956	3566.0624841843332	-0.6509481378831614	0.10828901836190734	-6.011210995630785	1.8414255159147423e-9	1.8112816324692889e-7	LRPAP1
ENSG00000143891	1022.9000544062944	-0.9013779657816312	0.14999317422674935	-6.009459899948448	1.8614239619165421e-9	1.8184972460600994e-7	GALM
ENSG00000228437	711.7211997822874	-0.7681271096852963	0.1290044065043097	-5.954270326879379	2.6123470113369113e-9	2.484497710583403e-7	LINC02474
ENSG00000005187	1404.1316672315297	-0.6532650120040784	0.11003119255612508	-5.9370892637636254	2.9012672405340377e-9	2.7411249237703496e-7	ACSM3
ENSG00000143819	1708.3704872994954	-0.6079378235021682	0.10392359136835294	-5.849853873384315	4.9200506192647205e-9	4.33477588608961e-7	EPHX1
ENSG00000241468	1901.9943077043954	-0.5704151492163186	0.09786296499994411	-5.828713131843537	5.585642626173374e-9	4.803318188890768e-7	ATP5MF
ENSG00000076685	1631.9056418215416	-0.6087044479221998	0.10450918430101541	-5.824411050505976	5.731435352379055e-9	4.842459863900223e-7	NT5C2
ENSG00000102158	8055.637049137303	-0.6049774814601981	0.10394983006989765	-5.819898705494765	5.8883301745994685e-9	4.916413351012964e-7	MAGT1
ENSG00000001036	2749.164210677712	-0.5223935683422737	0.09011249992723643	-5.797126578045147	6.746077452998788e-9	5.567840132328482e-7	FUCA2
ENSG00000235142	965.4170383306064	-1.115583069744537	0.19368438948137226	-5.7597985709211175	8.42143722017486e-9	6.756439101616266e-7	LINC02532
ENSG00000143183	4494.001348787467	-0.47265955548620253	0.08246582219486395	-5.731581192137076	9.949870091847854e-9	7.894479800498731e-7	TMCO1
ENSG00000155008	1390.80221382417	-0.7433404468769083	0.12974322601171542	-5.729319901524469	1.0083407980897415e-8	7.956473737014712e-7	APOOL
ENSG00000154162	589.1692633467513	-0.878655110597415	0.1534908052245727	-5.724480429377206	1.0375076636083972e-8	8.141883910972783e-7	CDH12
ENSG00000141741	73303.10537523267	-0.4997467500699906	0.08757155150226893	-5.706724860950333	1.1517072550442891e-8	8.844742187000554e-7	MIEN1
ENSG00000183978	2193.1518574347206	-0.7008145047254157	0.12357401201030702	-5.671212687235261	1.4179023638192914e-8	1.0717103077267812e-6	COA3
ENSG00000183291	5424.861801503615	-0.6210626347270298	0.10963480271250307	-5.664831051465029	1.4716946839149259e-8	1.1065448877331021e-6	SELENOF
ENSG00000133321	414.85323089357763	-0.8586141046490681	0.15213308730433978	-5.643835406635931	1.663030689382729e-8	1.2374499342085686e-6	PLAAT4
ENSG00000164405	5666.095354116998	-0.45389484893630255	0.08074097019693954	-5.621617474117338	1.8917778896165176e-8	1.3721122359991319e-6	UQCRQ
ENSG00000116729	4360.853057740119	-0.5961200899538048	0.10643171669085601	-5.600962837847565	2.1316443710377872e-8	1.5230121797250578e-6	WLS
ENSG00000108679	30835.234242429433	-0.6898671370687425	0.12346891474555509	-5.587375077285013	2.30527473517882e-8	1.6228456113677956e-6	LGALS3BP
ENSG00000128463	1151.3653307442294	-0.5877235414606332	0.10533794540550312	-5.579409577414532	2.4133636226975693e-8	1.6906495114907214e-6	EMC4
ENSG00000111361	2033.846874664192	-0.4475301066059756	0.08032659232271554	-5.5713817014420846	2.5272694339654907e-8	1.7618503078241947e-6	EIF2B1
ENSG00000183726	3304.5556752868724	-0.5583688952389526	0.10026195826607619	-5.569100233980546	2.5605815955770976e-8	1.7764498692793576e-6	TMEM50A
ENSG00000140835	4431.321826234797	-0.5697666541810211	0.10261025525286852	-5.552726214128515	2.8124839749352036e-8	1.9325398260308354e-6	CHST4
