Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000135929	1609.345096645483	-1.5920433706957187	0.12244159594758304	-13.002471573281916	1.184522001434926e-38	1.3114237918553212e-35	CYP27A1
ENSG00000128272	7994.872065931482	-0.9665891175849491	0.09764098078097697	-9.89942040579406	4.18694454446145e-23	1.5115780010841587e-20	ATF4
ENSG00000198258	2840.136218152433	-1.0582393592127972	0.10701484044274433	-9.888715946635292	4.6596612154527683e-23	1.646446676702641e-20	UBL5
ENSG00000118785	166609.9277223663	-0.9458217585288972	0.09594806859500171	-9.857642497434998	6.352333648287754e-23	2.1977751020232238e-20	SPP1
ENSG00000176340	5740.204023834591	-0.9348096990276232	0.09993196095630438	-9.354461676543826	8.402650626992588e-21	2.5841262770827018e-18	COX8A
ENSG00000173812	14523.299756565773	-0.9472685493380816	0.10933786549082523	-8.663682477115568	4.567644766122251e-18	9.250594711096612e-16	EIF1
ENSG00000102048	723.7852172637281	-1.1399306245756056	0.1348039569593246	-8.456210413167362	2.7620701636885068e-17	4.932225721330648e-15	ASB9
ENSG00000172428	1079.1396834582297	-0.9924084417356841	0.11754241812875017	-8.442981329928475	3.0934452693708355e-17	5.4651963391959e-15	COPS9
ENSG00000204264	3157.8574533570973	-0.8516047828040948	0.10481059947320161	-8.12517805531526	4.467061617584497e-16	6.998537007851485e-14	PSMB8
ENSG00000141741	73303.10537523267	-0.8617993397094346	0.10725274663452325	-8.035219299754816	9.341167752287636e-16	1.38507832912715e-13	MIEN1
ENSG00000077348	1480.663415646017	-1.0049697362433965	0.1256851584733855	-7.995930056102879	1.2859937484895123e-15	1.8253417248859256e-13	EXOSC5
ENSG00000112304	2985.494410592891	-0.8401517837155684	0.10517018802282978	-7.988497496393111	1.3659324052962144e-15	1.9223762249791722e-13	ACOT13
ENSG00000131495	1599.9442986309468	-0.8980530305309696	0.11286609920760003	-7.956800463876559	1.765450787878152e-15	2.463768170948947e-13	NDUFA2
